demand_type,origin,destination,demand
dc_to_store,dc0,store1,5
dc_to_store,dc0,store13,33
dc_to_store,dc0,store14,66
dc_to_store,dc0,store19,29
dc_to_store,dc0,store24,87
dc_to_store,dc0,store25,13
dc_to_store,dc0,store26,33
dc_to_store,dc0,store28,82
dc_to_store,dc0,store30,15
dc_to_store,dc0,store34,28
dc_to_store,dc0,store35,27
dc_to_store,dc0,store7,73
dc_to_store,dc1,store10,119
dc_to_store,dc1,store11,31
dc_to_store,dc1,store15,46
dc_to_store,dc1,store17,90
dc_to_store,dc1,store27,35
dc_to_store,dc1,store28,66
dc_to_store,dc1,store3,22
dc_to_store,dc1,store30,74
dc_to_store,dc1,store36,19
dc_to_store,dc1,store37,88
dc_to_store,dc1,store38,107
dc_to_store,dc1,store39,62
dc_to_store,dc1,store4,87
dc_to_store,dc1,store7,26
dc_to_store,dc2,store0,14
dc_to_store,dc2,store11,39
dc_to_store,dc2,store15,90
dc_to_store,dc2,store17,82
dc_to_store,dc2,store2,97
dc_to_store,dc2,store20,57
dc_to_store,dc2,store21,86
dc_to_store,dc2,store25,38
dc_to_store,dc2,store28,94
dc_to_store,dc2,store29,98
dc_to_store,dc2,store4,61
dc_to_store,dc2,store8,31
dc_to_store,dc3,store10,135
dc_to_store,dc3,store12,81
dc_to_store,dc3,store13,23
dc_to_store,dc3,store14,119
dc_to_store,dc3,store16,26
dc_to_store,dc3,store17,40
dc_to_store,dc3,store18,67
dc_to_store,dc3,store2,70
dc_to_store,dc3,store23,109
dc_to_store,dc3,store24,36
dc_to_store,dc3,store29,24
dc_to_store,dc3,store3,70
dc_to_store,dc3,store31,88
dc_to_store,dc3,store32,47
dc_to_store,dc3,store37,61
dc_to_store,dc3,store5,157
dc_to_store,dc3,store8,71
dc_to_store,dc3,store9,70
dc_to_store,dc4,store0,49
dc_to_store,dc4,store11,140
dc_to_store,dc4,store12,92
dc_to_store,dc4,store13,63
dc_to_store,dc4,store16,38
dc_to_store,dc4,store17,42
dc_to_store,dc4,store22,23
dc_to_store,dc4,store25,72
dc_to_store,dc4,store26,104
dc_to_store,dc4,store28,46
dc_to_store,dc4,store3,11
dc_to_store,dc4,store32,91
dc_to_store,dc4,store37,76
dc_to_store,dc4,store38,97
dc_to_store,dc4,store6,30
dc_to_store,dc4,store7,81
dc_to_store,dc4,store9,77
vendor_to_dc,vendor0,dc2,17
vendor_to_dc,vendor0,dc3,97
vendor_to_dc,vendor0,dc4,49
vendor_to_dc,vendor1,dc0,9
vendor_to_dc,vendor1,dc2,58
vendor_to_dc,vendor1,dc3,43
vendor_to_dc,vendor1,dc4,70
vendor_to_dc,vendor10,dc3,59
vendor_to_dc,vendor11,dc0,60
vendor_to_dc,vendor11,dc1,92
vendor_to_dc,vendor11,dc3,81
vendor_to_dc,vendor12,dc1,45
vendor_to_dc,vendor12,dc3,7
vendor_to_dc,vendor13,dc0,194
vendor_to_dc,vendor13,dc1,25
vendor_to_dc,vendor13,dc3,95
vendor_to_dc,vendor13,dc4,95
vendor_to_dc,vendor14,dc0,3
vendor_to_dc,vendor14,dc1,33
vendor_to_dc,vendor14,dc2,163
vendor_to_dc,vendor14,dc3,118
vendor_to_dc,vendor14,dc4,253
vendor_to_dc,vendor15,dc0,44
vendor_to_dc,vendor15,dc3,37
vendor_to_dc,vendor15,dc4,81
vendor_to_dc,vendor16,dc0,38
vendor_to_dc,vendor16,dc2,78
vendor_to_dc,vendor16,dc3,138
vendor_to_dc,vendor16,dc4,318
vendor_to_dc,vendor17,dc0,43
vendor_to_dc,vendor17,dc1,40
vendor_to_dc,vendor17,dc3,231
vendor_to_dc,vendor17,dc4,90
vendor_to_dc,vendor18,dc1,97
vendor_to_dc,vendor18,dc4,61
vendor_to_dc,vendor19,dc0,98
vendor_to_dc,vendor19,dc2,141
vendor_to_dc,vendor19,dc3,34
vendor_to_dc,vendor19,dc4,95
vendor_to_dc,vendor2,dc0,40
vendor_to_dc,vendor2,dc1,71
vendor_to_dc,vendor2,dc2,48
vendor_to_dc,vendor2,dc3,27
vendor_to_dc,vendor2,dc4,71
vendor_to_dc,vendor3,dc1,138
vendor_to_dc,vendor3,dc3,23
vendor_to_dc,vendor3,dc4,28
vendor_to_dc,vendor4,dc1,44
vendor_to_dc,vendor4,dc4,10
vendor_to_dc,vendor5,dc0,52
vendor_to_dc,vendor5,dc1,38
vendor_to_dc,vendor5,dc3,8
vendor_to_dc,vendor5,dc4,58
vendor_to_dc,vendor6,dc0,3
vendor_to_dc,vendor6,dc2,82
vendor_to_dc,vendor6,dc4,113
vendor_to_dc,vendor7,dc0,44
vendor_to_dc,vendor7,dc2,102
vendor_to_dc,vendor7,dc3,51
vendor_to_dc,vendor8,dc0,147
vendor_to_dc,vendor8,dc2,52
vendor_to_dc,vendor9,dc0,26
vendor_to_dc,vendor9,dc2,73
vendor_to_dc,vendor9,dc4,25
vendor_to_store,vendor0,store35,72
vendor_to_store,vendor1,store17,50
vendor_to_store,vendor10,store1,38
vendor_to_store,vendor12,store16,23
vendor_to_store,vendor12,store32,6
vendor_to_store,vendor12,store39,11
vendor_to_store,vendor14,store19,57
vendor_to_store,vendor16,store19,18
vendor_to_store,vendor18,store23,52
vendor_to_store,vendor19,store2,98
vendor_to_store,vendor19,store39,4
vendor_to_store,vendor3,store0,78
vendor_to_store,vendor4,store11,87
vendor_to_store,vendor4,store21,17
vendor_to_store,vendor4,store9,75
vendor_to_store,vendor6,store8,10
vendor_to_store,vendor7,store13,30
vendor_to_store,vendor7,store18,3
vendor_to_store,vendor9,store18,38
